date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:56:16	52023/52023	---M--	200	added ('OK')	image/jpeg	date:Mon,%2019%20Jul%202021%2007:06:21%20GMT	http://themes.potenzaglobalsolutions.com/html/real-villa/images/bg/02.jpg	C:/Users/ritik/OneDrive/Desktop/realestatetemp/new/themes.potenzaglobalsolutions.com/html/real-villa/images/bg/02.jpg	(from http://themes.potenzaglobalsolutions.com/html/real-villa/index.html)
15:56:16	14878/14878	---M--	200	added ('OK')	image/jpeg	date:Mon,%2019%20Jul%202021%2007:06:15%20GMT	http://themes.potenzaglobalsolutions.com/html/real-villa/images/agent/03.jpg	C:/Users/ritik/OneDrive/Desktop/realestatetemp/new/themes.potenzaglobalsolutions.com/html/real-villa/images/agent/03.jpg	(from http://themes.potenzaglobalsolutions.com/html/real-villa/index.html)
15:56:16	21433/21433	---M--	200	added ('OK')	image/jpeg	date:Mon,%2019%20Jul%202021%2007:06:15%20GMT	http://themes.potenzaglobalsolutions.com/html/real-villa/images/agent/02.jpg	C:/Users/ritik/OneDrive/Desktop/realestatetemp/new/themes.potenzaglobalsolutions.com/html/real-villa/images/agent/02.jpg	(from http://themes.potenzaglobalsolutions.com/html/real-villa/index.html)
15:56:19	16036/16036	---M--	200	added ('OK')	image/jpeg	date:Mon,%2019%20Jul%202021%2007:06:16%20GMT	http://themes.potenzaglobalsolutions.com/html/real-villa/images/agent/04.jpg	C:/Users/ritik/OneDrive/Desktop/realestatetemp/new/themes.potenzaglobalsolutions.com/html/real-villa/images/agent/04.jpg	(from http://themes.potenzaglobalsolutions.com/html/real-villa/index.html)
15:56:30	66525/66525	---M--	200	added ('OK')	image/jpeg	date:Mon,%2019%20Jul%202021%2007:06:45%20GMT	http://themes.potenzaglobalsolutions.com/html/real-villa/images/location/04.jpg	C:/Users/ritik/OneDrive/Desktop/realestatetemp/new/themes.potenzaglobalsolutions.com/html/real-villa/images/location/04.jpg	(from http://themes.potenzaglobalsolutions.com/html/real-villa/index.html)
15:56:30	182523/182523	---M--	200	added ('OK')	image/jpeg	date:Mon,%2019%20Jul%202021%2007:06:46%20GMT	http://themes.potenzaglobalsolutions.com/html/real-villa/images/property/big-img-02.jpg	C:/Users/ritik/OneDrive/Desktop/realestatetemp/new/themes.potenzaglobalsolutions.com/html/real-villa/images/property/big-img-02.jpg	(from http://themes.potenzaglobalsolutions.com/html/real-villa/index.html)
15:56:33	102043/102043	---M--	200	added ('OK')	image/jpeg	date:Mon,%2019%20Jul%202021%2007:06:44%20GMT	http://themes.potenzaglobalsolutions.com/html/real-villa/images/location/02.jpg	C:/Users/ritik/OneDrive/Desktop/realestatetemp/new/themes.potenzaglobalsolutions.com/html/real-villa/images/location/02.jpg	(from http://themes.potenzaglobalsolutions.com/html/real-villa/index.html)
15:56:35	118139/118139	---M--	200	added ('OK')	image/jpeg	date:Mon,%2019%20Jul%202021%2007:06:43%20GMT	http://themes.potenzaglobalsolutions.com/html/real-villa/images/location/01.jpg	C:/Users/ritik/OneDrive/Desktop/realestatetemp/new/themes.potenzaglobalsolutions.com/html/real-villa/images/location/01.jpg	(from http://themes.potenzaglobalsolutions.com/html/real-villa/index.html)
15:56:43	78549/78549	---M--	200	added ('OK')	image/jpeg	date:Mon,%2019%20Jul%202021%2007:06:29%20GMT	http://themes.potenzaglobalsolutions.com/html/real-villa/images/blog/02.jpg	C:/Users/ritik/OneDrive/Desktop/realestatetemp/new/themes.potenzaglobalsolutions.com/html/real-villa/images/blog/02.jpg	(from http://themes.potenzaglobalsolutions.com/html/real-villa/index.html)
15:56:43	82380/82380	---M--	200	added ('OK')	image/jpeg	date:Mon,%2019%20Jul%202021%2007:06:29%20GMT	http://themes.potenzaglobalsolutions.com/html/real-villa/images/blog/01.jpg	C:/Users/ritik/OneDrive/Desktop/realestatetemp/new/themes.potenzaglobalsolutions.com/html/real-villa/images/blog/01.jpg	(from http://themes.potenzaglobalsolutions.com/html/real-villa/index.html)
15:56:53	60536/60536	---M--	200	added ('OK')	image/jpeg	date:Mon,%2019%20Jul%202021%2007:06:44%20GMT	http://themes.potenzaglobalsolutions.com/html/real-villa/images/location/03.jpg	C:/Users/ritik/OneDrive/Desktop/realestatetemp/new/themes.potenzaglobalsolutions.com/html/real-villa/images/location/03.jpg	(from http://themes.potenzaglobalsolutions.com/html/real-villa/index-02.html)
15:56:56	143928/143928	---M--	200	added ('OK')	image/jpeg	date:Mon,%2019%20Jul%202021%2007:06:29%20GMT	http://themes.potenzaglobalsolutions.com/html/real-villa/images/blog/03.jpg	C:/Users/ritik/OneDrive/Desktop/realestatetemp/new/themes.potenzaglobalsolutions.com/html/real-villa/images/blog/03.jpg	(from http://themes.potenzaglobalsolutions.com/html/real-villa/index.html)
15:57:05	135568/135568	---M--	200	added ('OK')	image/jpeg	date:Mon,%2019%20Jul%202021%2007:06:21%20GMT	http://themes.potenzaglobalsolutions.com/html/real-villa/images/bg/01.jpg	C:/Users/ritik/OneDrive/Desktop/realestatetemp/new/themes.potenzaglobalsolutions.com/html/real-villa/images/bg/01.jpg	(from http://themes.potenzaglobalsolutions.com/html/real-villa/index-02.html)
15:57:06	2194/2194	---M--	200	added ('OK')	image/png	date:Mon,%2019%20Jul%202021%2007:06:10%20GMT	http://themes.potenzaglobalsolutions.com/html/real-villa/images/google-map.png	C:/Users/ritik/OneDrive/Desktop/realestatetemp/new/themes.potenzaglobalsolutions.com/html/real-villa/images/google-map.png	(from http://themes.potenzaglobalsolutions.com/html/real-villa/index-02.html)
